#;Раздел;Раздел(рус);Тогровая марка;Капсула;Капсула(рус);Тип продукта;Дизайн;Заголовок;Глтег;Тег1;Тег2;Тег3;Ткань;Крашение;Полное описание;Отношение;Главная картинка;ТН;Артикул;Цвет;Размер;Плотность
1;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Mosaico di vetro;Полотенце;;Плиссе;Эффект велюра;;Махра;;В бордюре используется плиссе и переплетение хлопчато-бумажной пряжи;ParentCapsule;T17_1756_30000.jpg;Т120567;ПЦ-6.123-4112 1сорт;'12-5202;50X100;420
1;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Mosaico di vetro;Полотенце;;Плиссе;Эффект велюра;;Махра;;В бордюре используется плиссе и переплетение хлопчато-бумажной пряжи;ParentCapsule;T17_1756_30000.jpg;Т120564;ПЦ-7.123-4112 1сорт;'12-5202;70X140;410
1;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Mosaico di vetro;Полотенце;;Плиссе;Эффект велюра;;Махра;;В бордюре используется плиссе и переплетение хлопчато-бумажной пряжи;ParentCapsule;T17_1756_30000.jpg;Т120565;ПЦ-12.123-4112 1сорт;'12-5202;100X150;410
1;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Mosaico di vetro;Полотенце;;Плиссе;Эффект велюра;;Махра;;В бордюре используется плиссе и переплетение хлопчато-бумажной пряжи;ParentCapsule;T17_1756_30000.jpg;Т120566;ПЦ-4.123-4112 1сорт;'12-5202;30X30;470
2;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Lino delicato;Полотенце;;;;;Махра;;Пряжа Long Twist. Чередование высокой и низкой махры, дает эффект гусенички.;ParentCapsule;T17_1760_50000.jpg;Т120833;ПЦ-625-4113 1сорт;'12-4301;50X100;500
2;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Lino delicato;Полотенце;;;;;Махра;;Пряжа Long Twist. Чередование высокой и низкой махры, дает эффект гусенички.;ParentCapsule;T17_1760_50000.jpg;Т120863;ПЦ-725-4113 1сорт;'12-4301;70X140;490
2;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Lino delicato;Полотенце;;;;;Махра;;Пряжа Long Twist. Чередование высокой и низкой махры, дает эффект гусенички.;ParentCapsule;T17_1760_50000.jpg;Т120864;ПЦ-1225-4113 1сорт;'12-4301;100X150;490
2;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Lino delicato;Полотенце;;;;;Махра;;Пряжа Long Twist. Чередование высокой и низкой махры, дает эффект гусенички.;ParentCapsule;T17_1760_50000.jpg;Т120927;ПЦ-425-4113 1сорт;'12-4301;30X30;550
3;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Foglie di cenere;Полотенце;;;;;Махра;;;ParentCapsule;;Т120699;ПЦ-689-4114 1сорт;'16-1010;50X100;560
3;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Foglie di cenere;Полотенце;;;;;Махра;;;ParentCapsule;;Т120700;ПЦ-789-4114 1сорт;'16-1010;70X140;540
3;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Foglie di cenere;Полотенце;;;;;Махра;;;ParentCapsule;;Т120701;ПЦ-1289-4114 1сорт;'16-1010;100X150;550
3;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Полотенце махровое;Foglie di cenere;Полотенце;;;;;Махра;;;ParentCapsule;;Т120702;ПЦ-489-4114 1сорт;'16-1010;30X30;610
4;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Gradini;Халат женский;;;;;Махра;;Пряжа Long Twist Халат с шалевым воротником на 10 см. ниже колен.;ParentCapsule;T18_8722.jpg;Т122428;ХЦ-925-4115 мд.43 ж 1сорт 42р. (2285);'12-5202;42;440
4;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Gradini;Халат женский;;;;;Махра;;Пряжа Long Twist Халат с шалевым воротником на 10 см. ниже колен.;ParentCapsule;T18_8722.jpg;Т122429;ХЦ-925-4115 мд.43 ж 1сорт 44р. (2285);'12-5202;44;440
4;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Gradini;Халат женский;;;;;Махра;;Пряжа Long Twist Халат с шалевым воротником на 10 см. ниже колен.;ParentCapsule;T18_8722.jpg;Т122430;ХЦ-925-4115 мд.43 ж 1сорт 46р. (2285);'12-5202;46;440
4;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Gradini;Халат женский;;;;;Махра;;Пряжа Long Twist Халат с шалевым воротником на 10 см. ниже колен.;ParentCapsule;T18_8722.jpg;Т122431;ХЦ-925-4115 мд.43 ж 1сорт 48р. (2285);'12-5202;48;440
4;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Gradini;Халат женский;;;;;Махра;;Пряжа Long Twist Халат с шалевым воротником на 10 см. ниже колен.;ParentCapsule;T18_8722.jpg;Т122432;ХЦ-925-4115 мд.43 ж 1сорт 50р. (2285);'12-5202;50;440
4;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Gradini;Халат женский;;;;;Махра;;Пряжа Long Twist Халат с шалевым воротником на 10 см. ниже колен.;ParentCapsule;T18_8722.jpg;Т122433;ХЦ-925-4115 мд.43 ж 1сорт 52р. (2285);'12-5202;52;440
4;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Gradini;Халат женский;;;;;Махра;;Пряжа Long Twist Халат с шалевым воротником на 10 см. ниже колен.;ParentCapsule;T18_8722.jpg;Т122434;ХЦ-925-4115 мд.43 ж 1сорт 54р. (2285);'12-5202;54;440
5;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Tradizioni primarie;Халат мужской;;;;;Махра;;Пряжа Long Twist. Халат с шалевым воротником  на 15 см. ниже колен.;ParentCapsule;T18_8723.jpg;Т122422;ХЦ-925-4116 мд.164 м 1сорт 48р. (2285);'16-1010;48;440
5;001_bathroom;Ванная;Cleanelly Perfetto;Lino;Лён;Халат махровый;Tradizioni primarie;Халат мужской;;;;;Махра;;Пряжа Long Twist. Халат с шалевым воротником  на 15 см. ниже колен.;ParentCapsule;T18_8723.jpg;Т122423;ХЦ-925-4116 мд.164 м 1сорт 50р. (2285);'16-1010;50;440
